t,y
0,-1298
2.08E-05,-1337
4.17E-05,-1427
6.25E-05,-1518
8.33E-05,-1543
0.000104167,-1614
0.000125001,-1793
0.000145834,-1932
0.000166667,-1977
0.000187501,-2004
0.000208334,-1997
0.000229168,-1951
0.000250001,-1909
0.000270834,-1818
0.000291668,-1671
0.000312501,-1586
0.000333335,-1581
0.000354168,-1576
0.000375002,-1556
0.000395835,-1520
0.000416668,-1485
0.000437502,-1533
0.000458335,-1648
0.000479169,-1700
0.000500002,-1663
0.000520836,-1632
0.000541669,-1679
0.000562502,-1777
0.000583336,-1779
0.000604169,-1575
0.000625003,-1301
0.000645836,-1171
0.000666669,-1141
0.000687503,-1024
0.000708336,-816
0.00072917,-622
0.000750003,-433
0.000770837,-253
0.00079167,-180
0.000812503,-177
0.000833337,-110
0.00085417,-25
0.000875004,-20
0.000895837,7
0.00091667,169
0.000937504,376
0.000958337,483
0.000979171,523
0.001000004,690
0.001020838,1046
0.001041671,1362
0.001062504,1472
0.001083338,1511
0.001104171,1575
0.001125005,1615
0.001145838,1642
0.001166672,1610
0.001187505,1425
0.001208338,1236
0.001229172,1212
0.001250005,1247
0.001270839,1281
0.001291672,1403
0.001312505,1538
0.001333339,1591
0.001354172,1661
0.001375006,1773
0.001395839,1840
0.001416673,1876
0.001437506,1913
0.001458339,1950
0.001479173,2020
0.001500006,2086
0.00152084,2078
0.001541673,2076
0.001562507,2168
0.00158334,2253
0.001604173,2269
0.001625007,2331
0.00164584,2456
0.001666674,2533
0.001687507,2610
0.00170834,2777
0.001729174,2896
0.001750007,2879
0.001770841,2921
0.001791674,3049
0.001812508,3003
0.001833341,2785
0.001854174,2685
0.001875008,2783
0.001895841,2960
0.001916675,3133
0.001937508,3223
0.001958341,3249
0.001979175,3343
0.002000008,3509
0.002020842,3642
0.002041675,3715
0.002062509,3718
0.002083342,3642
0.002104175,3571
0.002125009,3551
0.002145842,3528
0.002166676,3490
0.002187509,3454
0.002208343,3412
0.002229176,3364
0.002250009,3283
0.002270843,3130
0.002291676,2967
0.00231251,2899
0.002333343,2896
0.002354176,2829
0.00237501,2692
0.002395843,2641
0.002416677,2719
0.00243751,2756
0.002458344,2680
0.002479177,2624
0.00250001,2640
0.002520844,2643
0.002541677,2606
0.002562511,2564
0.002583344,2552
0.002604178,2533
0.002625011,2405
0.002645844,2221
0.002666678,2137
0.002687511,2062
0.002708345,1875
0.002729178,1781
0.002750011,1881
0.002770845,1923
0.002791678,1823
0.002812512,1789
0.002833345,1892
0.002854179,2004
0.002875012,2036
0.002895845,2016
0.002916679,2030
0.002937512,2071
0.002958346,2057
0.002979179,2022
0.003000013,2006
0.003020846,1950
0.003041679,1903
0.003062513,1958
0.003083346,2030
0.00310418,2050
0.003125013,2117
0.003145846,2279
0.00316668,2477
0.003187513,2643
0.003208347,2757
0.00322918,2885
0.003250014,3021
0.003270847,3033
0.00329168,2932
0.003312514,2849
0.003333347,2740
0.003354181,2554
0.003375014,2410
0.003395847,2349
0.003416681,2302
0.003437514,2279
0.003458348,2291
0.003479181,2304
0.003500015,2325
0.003520848,2349
0.003541681,2370
0.003562515,2413
0.003583348,2425
0.003604182,2353
0.003625015,2256
0.003645849,2154
0.003666682,2007
0.003687515,1819
0.003708349,1610
0.003729182,1451
0.003750016,1418
0.003770849,1373
0.003791682,1176
0.003812516,996
0.003833349,945
0.003854183,878
0.003875016,778
0.00389585,734
0.003916683,701
0.003937516,684
0.00395835,721
0.003979183,691
0.004000017,566
0.00402085,517
0.004041684,563
0.004062517,572
0.00408335,478
0.004104184,258
0.004125017,-25
0.004145851,-225
0.004166684,-329
0.004187517,-404
0.004208351,-398
0.004229184,-286
0.004250018,-221
0.004270851,-315
0.004291685,-469
0.004312518,-544
0.004333351,-570
0.004354185,-653
0.004375018,-729
0.004395852,-702
0.004416685,-714
0.004437518,-877
0.004458352,-1025
0.004479185,-1065
0.004500019,-1154
0.004520852,-1346
0.004541686,-1519
0.004562519,-1600
0.004583352,-1556
0.004604186,-1403
0.004625019,-1307
0.004645853,-1354
0.004666686,-1418
0.00468752,-1426
0.004708353,-1443
0.004729186,-1444
0.00475002,-1371
0.004770853,-1310
0.004791687,-1324
0.00481252,-1339
0.004833353,-1314
0.004854187,-1283
0.00487502,-1280
0.004895854,-1355
0.004916687,-1487
0.004937521,-1580
0.004958354,-1683
0.004979187,-1901
0.005000021,-2136
0.005020854,-2286
0.005041688,-2441
0.005062521,-2608
0.005083355,-2714
0.005104188,-2854
0.005125021,-3049
0.005145855,-3113
0.005166688,-3023
0.005187522,-2945
0.005208355,-2933
0.005229188,-3007
0.005250022,-3189
0.005270855,-3330
0.005291689,-3334
0.005312522,-3351
0.005333356,-3453
0.005354189,-3534
0.005375022,-3625
0.005395856,-3832
0.005416689,-4047
0.005437523,-4102
0.005458356,-4067
0.005479189,-4103
0.005500023,-4225
0.005520856,-4341
0.00554169,-4394
0.005562523,-4383
0.005583357,-4373
0.00560419,-4443
0.005625023,-4558
0.005645857,-4613
0.00566669,-4590
0.005687524,-4530
0.005708357,-4449
0.005729191,-4369
0.005750024,-4309
0.005770857,-4260
0.005791691,-4217
0.005812524,-4148
0.005833358,-4032
0.005854191,-3923
0.005875024,-3843
0.005895858,-3771
0.005916691,-3776
0.005937525,-3871
0.005958358,-3947
0.005979192,-3979
0.006000025,-3986
0.006020858,-3912
0.006041692,-3814
0.006062525,-3785
0.006083359,-3707
0.006104192,-3558
0.006125026,-3512
0.006145859,-3545
0.006166692,-3549
0.006187526,-3571
0.006208359,-3550
0.006229193,-3384
0.006250026,-3213
0.006270859,-3113
0.006291693,-2983
0.006312526,-2839
0.00633336,-2713
0.006354193,-2569
0.006375027,-2500
0.00639586,-2500
0.006416693,-2395
0.006437527,-2262
0.00645836,-2236
0.006479194,-2161
0.006500027,-2008
0.006520861,-1965
0.006541694,-1980
0.006562527,-1917
0.006583361,-1843
0.006604194,-1775
0.006625028,-1679
0.006645861,-1643
0.006666694,-1638
0.006687528,-1532
0.006708361,-1398
0.006729195,-1338
0.006750028,-1238
0.006770862,-1032
0.006791695,-857
0.006812528,-816
0.006833362,-842
0.006854195,-838
0.006875029,-807
0.006895862,-818
0.006916695,-885
0.006937529,-916
0.006958362,-818
0.006979196,-654
0.007000029,-578
0.007020863,-596
0.007041696,-565
0.007062529,-431
0.007083363,-270
0.007104196,-161
0.00712503,-122
0.007145863,-85
0.007166697,-39
0.00718753,-82
0.007208363,-190
0.007229197,-245
0.00725003,-314
0.007270864,-454
0.007291697,-525
0.00731253,-543
0.007333364,-666
0.007354197,-839
0.007375031,-973
0.007395864,-1128
0.007416698,-1254
0.007437531,-1256
0.007458364,-1210
0.007479198,-1202
0.007500031,-1242
0.007520865,-1302
0.007541698,-1288
0.007562532,-1235
0.007583365,-1290
0.007604198,-1339
0.007625032,-1205
0.007645865,-1048
0.007666699,-1004
0.007687532,-946
0.007708365,-846
0.007729199,-763
0.007750032,-646
0.007770866,-522
0.007791699,-495
0.007812533,-526
0.007833366,-513
0.007854199,-422
0.007875033,-308
0.007895866,-286
0.0079167,-327
0.007937533,-268
0.007958366,-180
0.0079792,-289
0.008000033,-527
0.008020867,-627
0.0080417,-559
0.008062534,-509
0.008083367,-584
0.0081042,-732
0.008125034,-868
